Time,Voltage,PWM1,PWM2,PWM3,PWM4,X,Y,W
1622816218.3678927,12.29,90,90,90,90,1.54610013961792,2.4817757606506348,1.6724255644644388
1622816218.5702207,12.29,90,90,90,90,1.5355660915374756,2.486539840698242,1.672260868407917
1622816218.7730055,12.29,90,90,90,90,1.525482416152954,2.4910366535186768,1.673557171026686
1622816218.9761057,12.29,90,90,90,90,1.515061378479004,2.4953694343566895,1.6714699687121208
1622816219.1790924,12.29,90,90,90,90,1.502201795578003,2.4996118545532227,1.6761100401704445
1622816219.3824685,12.29,90,90,90,90,1.487396001815796,2.5042061805725098,1.6719130285008497
1622816219.5843196,12.29,90,90,90,90,1.4746417999267578,2.5066943168640137,1.6711287357820108
1622816219.7863212,12.29,90,90,90,90,1.4631226062774658,2.5103015899658203,1.6709891330868916
1622816219.9886446,12.29,90,90,90,90,1.4507977962493896,2.5136921405792236,1.6696972743891139
1622816220.1907458,12.29,60,90,60,90,1.439574956893921,2.5177855491638184,1.6724534957204975
1622816220.3924994,12.29,60,90,60,90,1.4289209842681885,2.5164072513580322,1.6776908374092299
1622816220.594479,12.29,60,90,60,90,1.4181864261627197,2.506983995437622,1.6819726903369427
1622816220.796587,12.29,60,90,60,90,1.4078145027160645,2.4909090995788574,1.6859890524579864
1622816220.9989014,12.29,60,90,60,90,1.3954033851623535,2.4684152603149414,1.6903730770416192
1622816221.2013352,12.29,60,90,60,90,1.3833122253417969,2.439405679702759,1.6960205022672232
1622816221.4038765,12.29,60,90,60,90,1.3711376190185547,2.4081242084503174,1.7011581392919544
1622816221.606033,12.29,60,90,60,90,1.3552367687225342,2.3728466033935547,1.7076253845768963
1622816221.8096292,12.29,60,90,60,90,1.337662935256958,2.334017753601074,1.7131215807786768
1622816222.0121498,12.29,60,90,60,90,1.3223726749420166,2.292736291885376,1.7116894783033314
1622816222.2151022,12.29,60,90,60,90,1.3094456195831299,2.2547929286956787,1.7046432931905309
1622816222.4178708,12.29,60,90,60,90,1.2917532920837402,2.206002950668335,1.6889372588015255
1622816222.6201522,12.29,60,90,60,90,1.2793340682983398,2.1670761108398438,1.674224263472891
1622816222.8229036,12.29,60,90,60,90,1.2623648643493652,2.1050384044647217,1.6550014367474783
1622816223.0260513,12.29,60,90,60,90,1.2508392333984375,2.045318365097046,1.6386683009785206
1622816223.2288632,12.29,60,90,60,90,1.2422075271606445,1.9864336252212524,1.624508239202457
