Time,Voltage,PWM1,PWM2,PWM3,PWM4,X,Y,W
1622816110.505857,12.29,90,90,90,90,2.3082871437072754,2.0235748291015625,0.7650048205348897
1622816110.7084305,12.29,90,90,90,90,2.305347442626953,2.0215559005737305,0.7639140533419735
1622816110.910666,12.29,90,90,90,90,2.303525447845459,2.0210518836975098,0.7633572388830623
1622816111.1126966,12.29,90,90,90,90,2.3013229370117188,2.019787549972534,0.764083993571255
1622816111.3141642,12.29,90,90,90,90,2.2995452880859375,2.0191383361816406,0.7657673947395911
1622816111.515909,12.29,90,90,90,90,2.2980151176452637,2.018087148666382,0.7672378905427006
1622816111.7179182,12.29,90,90,90,90,2.2941932678222656,2.0134527683258057,0.7697754096342696
1622816111.9203308,12.29,90,90,90,90,2.2911291122436523,2.011542320251465,0.7709004530446287
1622816112.1227915,12.29,90,90,90,90,2.2870535850524902,2.0059328079223633,0.7743193237888146
1622816112.3256269,12.29,90,90,90,90,2.286238670349121,2.0034453868865967,0.7750234272701857
1622816112.5273523,12.29,90,90,90,90,2.284301280975342,1.999944806098938,0.7792893068827594
1622816112.7292724,12.29,90,90,90,90,2.280776023864746,1.9968396425247192,0.7841537952752913
1622816112.9318552,12.29,90,90,90,90,2.2764673233032227,1.9937996864318848,0.7873040488507801
1622816113.134555,12.29,60,90,60,90,2.2718873023986816,1.9921997785568237,0.7914380174087269
1622816113.3364244,12.29,60,90,60,90,2.2649340629577637,1.9910666942596436,0.7888849903829367
1622816113.5385857,12.29,60,90,60,90,2.2507262229919434,1.983249545097351,0.787938932327483
1622816113.7409143,12.29,60,90,60,90,2.231637477874756,1.9703056812286377,0.7911378295027021
1622816113.9447944,12.29,90,90,90,90,2.2115488052368164,1.9563140869140625,0.7935618637667587
1622816114.1478815,12.29,60,90,60,90,2.195894241333008,1.9441006183624268,0.8027917089825978
1622816114.350973,12.29,60,90,60,90,2.180375576019287,1.9307540655136108,0.8158480099738828
1622816114.554188,12.29,60,90,60,90,2.164058208465576,1.9178013801574707,0.8186525346906037
1622816114.7566102,12.29,60,90,60,90,2.139601230621338,1.8976844549179077,0.8063194955917315
1622816114.9587924,12.29,60,90,60,90,2.1134557723999023,1.8748490810394287,0.8030740932429044
1622816115.1617637,12.29,60,90,60,90,2.0844035148620605,1.8541862964630127,0.7855337693443
1622816115.3647053,12.29,60,90,60,90,2.0532751083374023,1.8299367427825928,0.7729317071517463
1622816115.567691,12.29,60,90,60,90,2.0204110145568848,1.8041903972625732,0.7596826311379664
1622816115.770866,12.29,60,90,60,90,1.983466625213623,1.7732234001159668,0.7407721583387106
1622816115.9738066,12.29,60,90,60,90,1.945326805114746,1.7434558868408203,0.7314493402331016
1622816116.176775,12.29,60,90,60,90,1.9037766456604004,1.7103599309921265,0.7177130662793239
1622816116.3799555,12.29,60,90,60,90,1.8629789352416992,1.676098108291626,0.702117913748234
1622816116.582746,12.29,60,90,60,90,1.8243112564086914,1.644051432609558,0.6940563609220693
1622816116.7855635,12.29,60,90,60,90,1.7762489318847656,1.601680874824524,0.6783232469280979
1622816116.989192,12.29,60,90,60,90,1.728538990020752,1.5606465339660645,0.6711637213818087
